PRICE,BEDS,BATH,PROPERTYSQFT
368000,2,2,2184.207862
999999,5,2,2754
374900,1,1,782
365000,2,1,2184.207862
25500000,5,2.3738608579684373,2184.207862
999000,7,3,3036
825000,3,2,2184.207862
889000,3,2,2184.207862
225000,2,1,789
799500,2,2,2250
779000,2,2,2184.207862
1880000,7,2,3240
3000000,5,2.3738608579684373,5000
480000,3,2,2184.207862
820000,4,3,2184.207862
385000,2,1,800
709999,4,2,2184.207862
699000,3,2,1500
649000,3,2,1400
529000,3,2.3738608579684373,1618
325000,2,1,750
999000,3,1,1392
160000,3,2.3738608579684373,1064
3895000,3,3,1884
699000,1,1,2184.207862
615000,3,2,1165
249000,2,1,800
1290000,3,2,1998
850000,4,2,2375
588000,3,2,1140
1790000,4,2,2184.207862
1175000,9,3,2184.207862
579000,4,2,2184.207862
249000,1,1,850
2480000,3,2,3600
999000,4,3,2270
228500,1,1,750
305000,2,1,2184.207862
1500000,6,2,3600
778000,4,3,2185
850000,3,2,1320
428000,3,3,2184.207862
639000,1,1,2184.207862
835000,3,2,2184.207862
1250000,3,2,1560
1695000,5,3,2160
502900,4,2,1440
749000,4,2,1420
529000,5,2,2248
705000,2,2,2184.207862
549000,1,1,2184.207862
7200000,3,2.3738608579684373,48000
335000,2,1,745
599000,3,2,2184.207862
334999,1,2,1059
295000,1,1,2184.207862
560000,3,2,2184.207862
549000,1,1,2184.207862
335000,2,1,745
334999,1,2,1059
295000,1,1,2184.207862
799000,3,2,2279
720000,3,2,1046
249999,1,1,750
850000,3,2,2184.207862
750000,3,2,2184.207862
625000,5,2.3738608579684373,2184.207862
650000,2,2,896
4845000,9,6,5939
580000,1,1,2184.207862
887785,2,2,2184.207862
499999,3,1,701
599000,4,2,1348
1149000,5,4,2169
988000,4,2.3738608579684373,2400
764600,4,2,1884
699900,1,1,2184.207862
5495000,5,4,4296
3900000,5,6,7723
999000,2,2,2184.207862
10495000,7,4,5100
188000,3,1,2184.207862
499900,3,2,1232
545000,1,1,2184.207862
705000,2,2,2184.207862
1289000,4,4,2184.207862
389000,2,1,2184.207862
350000,2,1,2184.207862
1289000,4,4,2184.207862
499900,3,2,1232
350000,2,1,2184.207862
295000,3,1,2184.207862
918000,4,3,2184.207862
1799000,4,3,3176
